id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
14250,H53,hebrew,אֲבִישָׁלוֹם,ʼĂbîyshâlôwm,ab-ee-shaw-lome',"Abshalom, a son of David; also (the fuller form) a later Israelite","Abishalom, Absalom.",or (shortened) אַבְשָׁלוֹם ; from H1 (אָב) and H7965 (שָׁלוֹם); father of peace (i.e. friendly);
14251,H54,hebrew,אֶבְיָתָר,ʼEbyâthâr,ab-yaw-thawr',"Ebjathar, an Israelite",Abiathar.,contracted from H1 (אָב) and H3498 (יָתַר); father of abundance (i.e. liberal);
14252,H55,hebrew,אָבַךְ,ʼâbak,aw-bak',probably to coil upward,mount up.,a primitive root;
14253,H56,hebrew,אָבַל,ʼâbal,aw-bal',to bewail,"lament, mourn.",a primitive root;
14254,H57,hebrew,אָבֵל,ʼâbêl,aw-bale',lamenting,"mourn(-er, -ing).",from H56 (אָבַל);
14255,H58,hebrew,אָבֵל,ʼâbêl,aw-bale',a meadow,plain. Compare also the proper names beginning with Abel-.,from an unused root (meaning to be grassy);
14256,H59,hebrew,אָבֵל,ʼÂbêl,aw-bale',"Abel, the name of two places in Palestine.",Abel.,from H58 (אָבֵל); a meadow;
14257,H60,hebrew,אֵבֶל,ʼêbel,ay'-bel,lamentation,mourning.,from H56 (אָבַל);
14258,H61,hebrew,אֲבָל,ʼăbâl,ab-awl',"nay, i.e. truly or yet","but, indeed, nevertheless, verily.",apparently from H56 (אָבַל) through the idea of negation;
14259,H62,hebrew,אָבֵל בֵּית־מֲעַכָה,ʼÂbêl Bêyth-Măʻakâh,aw-bale' bayth ma-akaw',"Abel of Beth-maakah, a place in Palestine","Abel-beth-maachah, Abel of Beth-maachah,",from H58 (אָבֵל) and H1004 (בַּיִת) and H4601 (מַעֲכָה); meadow of Beth-Maakah;
14260,H63,hebrew,אָבֵל הַשִּׁטִּים,ʼÂbêl hash-Shiṭṭîym,aw-bale' hash-shit-teem',"Abel hash-Shittim, a place in Palestine",Abelshittim.,"from H58 (אָבֵל) and the plural of H7848 (שִׁטָּה), with the article inserted; meadow of the acacias;"
14261,H64,hebrew,אָבֵל כְּרָמִים,ʼÂbêl Kᵉrâmîym,aw-bale' ker-aw-meem',"Abel-Keramim, a place in Palestine",plain of the vineyards.,from H58 (אָבֵל) and the plural of H3754 (כֶּרֶם); meadow of vineyards;
14262,H65,hebrew,אָבֵל מְחוֹלָה,ʼÂbêl Mᵉchôwlâh,aw-bale' mekh-o-law',"Abel-Mecholah, a place in Palestine",Abel-meholah.,from H58 (אָבֵל) and H4246 (מְחֹלָה)xlit mᵉchôwlâh corrected to mᵉchôlâh; meadow of dancing;
14263,H66,hebrew,אַבֵל מַיִם,ʼAbêl Mayim,aw-bale' mah'-yim,"Abel-Majim, a place in Palestine",Abel-maim.,from H58 (אָבֵל) and H4325 (מַיִם); meadow of water;
14264,H67,hebrew,אָבֵל מִצְרַיִם,ʼÂbêl Mitsrayim,aw-bale' mits-rah'-yim,"Abel-Mitsrajim, a place in Palestine",Abel-mizraim.,from H58 (אָבֵל) and H4714 (מִצְרַיִם); meadow of Egypt;
14265,H68,hebrew,אֶבֶן,ʼeben,eh'-ben,a stone,"[phrase] carbuncle, [phrase] mason, [phrase] plummet, (chalk-, hail-, head-, sling-) stone(-ny), (divers) weight(-s).",from the root of H1129 (בָּנָה) through the meaning to build;
14266,H69,hebrew,אֶבֶן,ʼeben,eh'-ben,{a stone},stone.,(Aramaic) corresponding to H68 (אֶבֶן)
14267,H70,hebrew,אֹבֶן,ʼôben,o' ben,a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between),"wheel, stool.",from the same as H68 (אֶבֶן);
14268,H71,hebrew,אֲבָנָה,ʼĂbânâh,ab-aw-naw',"Abanah, a river near Damascus",Abana.,perhaps feminine of H68 (אֶבֶן); stony; Compare H549 (אֲמָנָה).
14269,H72,hebrew,אֶבֶן הָעֵזֶר,ʼEben hâ-ʻÊzer,eh'-ben haw-e'-zer,"Eben-ha-Ezer, a place in Palestine",Ebenezer.,from H68 (אֶבֶן) and H5828 (עֵזֶר) with the article inserted; stone of the help;
14270,H73,hebrew,אַבְנֵט,ʼabnêṭ,ab-nate',a belt,girdle.,of uncertain derivation;
14271,H74,hebrew,אַבְנֵר,ʼAbnêr,ab-nare',"Abner, an Israelite",Abner.,or (fully) אֲבִינֵר ; from H1 (אָב) and H5216 (נִיר); father of light (i.e. enlightening);
14272,H75,hebrew,אָבַס,ʼâbaç,aw-bas',to fodder,"fatted, stalled.",a primitive root;
14273,H76,hebrew,אֲבַעְבֻּעָה,ʼăbaʻbuʻâh,ab-ah-boo-aw',an inflammatory pustule (as eruption),blains.,(by reduplication) from an unused root (meaning to belch forth);
14274,H77,hebrew,אֶבֶץ,ʼEbets,eh'-bets,"Ebets, a place in Palestine",Abez.,from an unused root probably meaning to gleam; conspicuous;
14275,H78,hebrew,אִבְצָן,ʼIbtsân,ib-tsawn',"Ibtsan, an Israelite",Ibzan.,from the same as H76 (אֲבַעְבֻּעָה); splendid;
14276,H79,hebrew,אָבַק,ʼâbaq,aw-bak',"to bedust, i.e. grapple",wrestle.,"a primitive root, probably to float away (as vapor), but used only as denominative from H80 (אָבָק);"
