id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
19772,H5575,hebrew,סַנְוֵר,çanvêr,san-vare',(in plural) blindness,blindness.,of uncertain derivation;
19773,H5576,hebrew,סַנְחֵרִיב,Çanchêrîyb,san-khay-reeb',"Sancherib, an Assyrian king",Sennacherib.,of foreign origin;
19774,H5577,hebrew,סַנְסִן,çançin,san-seen',a twig (as tapering),bough.,from an unused root meaning to be pointed;
19775,H5578,hebrew,סַנְסַנָּה,Çançannâh,san-san-naw',"Sansannah, a place in Palestine",Sansannah.,feminine of a form of H5577 (סַנְסִן); a bough;
19776,H5579,hebrew,סְנַפִּיר,çᵉnappîyr,sen-ap-peer',a fin (collectively),fins.,of uncertain derivation;
19777,H5580,hebrew,סָס,çâç,sawce,a moth (from the agility of the fly),moth.,from the same as H5483 (סוּס);
19778,H5581,hebrew,סִסְמַי,Çiçmay,sis-mah'-ee,"Sismai, an Israelite",Sisamai.,of uncertain derivation;
19779,H5582,hebrew,סָעַד,çâʻad,saw-ad',to suport (mostly figurative),"comfort, establish, hold up, refresh self, strengthen, be upholden.",a primitive root;
19780,H5583,hebrew,סְעַד,çᵉʻad,seh-ad',to aid,helping.,(Aramaic) corresponding to H5582 (סָעַד);
19781,H5584,hebrew,סָעָה,çâʻâh,saw-aw',to rush,storm.,a primitive root;
19782,H5585,hebrew,סָעִיף,çâʻîyph,saw-eef',a fissure (of rocks); also a bough (as subdivided),"(outmost) branch, clift, top.",from H5586 (סָעַף);
19783,H5586,hebrew,סָעַף,çâʻaph,saw-af',to disbranch (a tree),top.,"a primitive root; properly, to divide up; but used only as denominative from H5585 (סָעִיף),"
19784,H5587,hebrew,סָעִף,çâʻiph,saw-eef',"divided (in mind), i.e. (abstractly) a sentiment",opinion.,or שָׂעִף; from H5586 (סָעַף);
19785,H5588,hebrew,סֵעֵף,çêʻêph,say-afe',"divided (in mind), i.e. (concretely) a skeptic",thought.,from H5586 (סָעַף);
19786,H5589,hebrew,סְעַפָּה,çᵉʻappâh,seh-ap-paw',a twig,"bough, branch. Compare H5634 (סַרְעַפָּה).",feminine of H5585 (סָעִיף);
19787,H5590,hebrew,סָעַר,çâʻar,saw-ar',"to rush upon; by implication, to toss (transitive or intransitive, literal or figurative)","be (toss with) tempest(-uous), be sore, troubled, come out as a (drive with the, scatter with a) whirlwind.",a primitive root;
19788,H5591,hebrew,סַעַר,çaʻar,sah'-ar,a hurricane,"storm(-y), tempest, whirlwind.",or (feminine) סְעָרָה; from H5590 (סָעַר);
19789,H5592,hebrew,סַף,çaph,saf,a vestibule (as a limit); also a dish (for holding blood or wine),"bason, bowl, cup, door (post), gate, post, threshold.","from H5605 (סָפַף), in its original sense of containing;"
19790,H5593,hebrew,סַף,Çaph,saf,"Saph, a Philistine",Saph. Compare H5598 (סִפַּי).,the same as H5592 (סַף);
19791,H5594,hebrew,סָפַד,çâphad,saw-fad',"properly, to tear the hair and beat the breasts (as Orientals do in grief); generally to lament; by implication, to wail","lament, mourn(-er), wail.",a primitive root;
19792,H5595,hebrew,סָפָה,çâphâh,saw-faw',"properly, to scrape (literally, to shave; but usually figuratively) together (i.e. to accumulate or increase) or away (i.e. to scatter, remove, or ruin; intransitively, to perish)","add, augment, consume, destroy, heap, join, perish, put.",a primitive root;
19793,H5596,hebrew,סָפַח,çâphach,saw-fakh',"properly, to scrape out, but in certain peculiar senses (of removal or association)","abiding, gather together, cleave, smite with the scab.","or שָׂפַח; (Isaiah 3:17), a primitive root;"
19794,H5597,hebrew,סַפַּחַת,çappachath,sap-pakh'-ath,the mange (as making the hair fall off),scab.,from H5596 (סָפַח);
19795,H5598,hebrew,סִפַּי,Çippay,sip-pah'-ee,"Sippai, a Philistine",Sippai. Compare H5593 (סַף).,from H5592 (סַף); bason-like;
19796,H5599,hebrew,סָפִיחַ,çâphîyach,saw-fee'-akh,"something (spontaneously) falling off, i.e. a self-sown crop; figuratively, a freshet","(such) things as (which) grow (of themselves), which groweth of its own accord (itself).",from H5596 (סָפַח);
19797,H5600,hebrew,סְפִינָה,çᵉphîynâh,sef-ee-naw',a (sea-going) vessel (as ceiled with a deck),ship.,from H5603 (סָפַן);
19798,H5601,hebrew,סַפִּיר,çappîyr,sap-peer',"a gem (perhaps used for scratching other substances), probably the sapphire",sapphire.,from H5608 (סָפַר);
19799,H5602,hebrew,סֵפֶל,çêphel,say'-fel,a basin (as deepened out),"bowl, dish.",from an unused root meaning to depress;
19800,H5603,hebrew,סָפַן,çâphan,saw-fan',"to hide by covering; specifically, to roof (passive participle as noun, a roof) or wainscot; figuratively, to reserve","cieled, cover, seated.",a primitive root;
19801,H5604,hebrew,סִפֻּן,çippun,sip-poon',a wainscot,cieling.,from H5603 (סָפַן);
19802,H5605,hebrew,סָפַף,çâphaph,saw-faf',to wait at the threshold,be a doorkeeper.,"a primitive root; properly, to snatch away, i.e. terminate; but used only as denominative from H5592 (סַף) (in the sense of a vestibule),"
19803,H5606,hebrew,סָפַק,çâphaq,saw-fak',"to clap the hands (in token of compact, derision, grief, indignation, or punishment); by implication of satisfaction, to be enough; by implication of excess, to vomit","clap, smite, strike, suffice, wallow.","or שָׂפַק; (1 Kings 20:10; Job 27:23; Isaiah 2:6), a primitive root;"
19804,H5607,hebrew,סֵפֶק,çêpheq,say'-fek,chastisement; also satiety,"stroke, sufficiency.","or שֶׂפֶק; (Job 20:22; Job 36:18), from H5606 (סָפַק);"
19805,H5608,hebrew,סָפַר,çâphar,saw-far',"properly, to score with a mark as a tally or record, i.e. (by implication) to inscribe, and also to enumerate; intensively, to recount, i.e. celebrate","commune, (ac-) count; declare, number, [phrase] penknife, reckon, scribe, shew forth, speak, talk, tell (out), writer.",a primitive root;
19806,H5609,hebrew,סְפַר,çᵉphar,sef-ar',a book,"book, roll.",(Aramaic) from a root corresponding to H5608 (סָפַר);
19807,H5610,hebrew,סְפָר,çᵉphâr,sef-awr',a census,numbering.,from H5608 (סָפַר);
19808,H5611,hebrew,סְפָר,Çᵉphâr,sef-awr',"Sephar, a place in Arabia",Sephar.,the same as H5610 (סְפָר);
19809,H5612,hebrew,סֵפֶר,çêpher,say'-fer,"properly, writing (the art or a document); by implication, a book","bill, book, evidence, [idiom] learn(-ed) (-ing), letter, register, scroll.","or (feminine) סִפְרָה; (Psalm 56:8 (H9 (אֲבֵדָה))), from H5608 (סָפַר);"
19810,H5613,hebrew,סָפֵר,çâphêr,saw-fare',a scribe (secular or sacred),scribe.,(Aramaic) from the same as H5609 (סְפַר);
19811,H5614,hebrew,סְפָרָד,Çᵉphârâd,sef-aw-rawd',"Sepharad, a region of Assyria",Sepharad.,of foreign derivation;
19812,H5615,hebrew,סְפֹרָה,çᵉphôrâh,sef-o-raw',a numeration,number.,from H5608 (סָפַר);
19813,H5616,hebrew,סְפַרְוִי,Çᵉpharvîy,sef-ar-vee',a Sepharvite or inhabitant of Sepharvain,Sepharvite.,patrial from H5617 (סְפַרְוַיִם);
19814,H5617,hebrew,סְפַרְוַיִם,Çᵉpharvayim,sef-ar-vah'-yim,Sepharvites,,(dual)
19815,H5618,hebrew,סֹפֶרֶת,Çôphereth,so-feh'-reth,"Sophereth, a temple servant",Sophereth.,"feminine active participle of H5608 (סָפַר); a scribe (properly, female);"
19816,H5619,hebrew,סָקַל,çâqal,saw-kal',"properly, to be weighty; but used only in the sense of lapidation or its contrary (as if a delapidation)","(cast, gather out, throw) stone(-s), [idiom] surely.",a primitive root;
19817,H5620,hebrew,סַר,çar,sar,peevish,"heavy, sad.",contracted from H5637 (סָרַר);
19818,H5621,hebrew,סָרָב,çârâb,saw-rawb',a thistle,brier.,from an unused root meaning to sting;
19819,H5622,hebrew,סַרְבַּל,çarbal,sar-bal',a cloak,coat.,(Aramaic) of uncertain derivation;
19820,H5623,hebrew,סַרְגּוֹן,Çargôwn,sar-gone',"Sargon, an Assyrian king",Sargon.,of foreign derivation;
19821,H5624,hebrew,סֶרֶד,Çered,seh'-red,"Sered, an Israelite",Sered.,from a primitive root meaning to tremble; trembling;
19822,H5625,hebrew,סַרְדִּי,Çardîy,sar-dee',a Seredite (collectively) or descendants of Sered,Sardites.,patron from H5624 (סֶרֶד);
19823,H5626,hebrew,סִרָה,Çirâh,see-raw',"Sirah, a cistern so-called",Sirah. See also H5518 (סִיר).,from H5493 (סוּר); departure;
19824,H5627,hebrew,סָרָה,çârâh,saw-raw',"apostasy, crime; figuratively, remission","[idiom] continual, rebellion, revolt(-ed), turn away, wrong.",from H5493 (סוּר);
19825,H5628,hebrew,סָרַח,çârach,saw-rakh',to extend (even to excess),"exceeding, hand, spread, stretch self, banish.",a primitive root;
19826,H5629,hebrew,סֶרַח,çerach,seh'-rakh,a redundancy,remnant.,from H5628 (סָרַח);
19827,H5630,hebrew,סִרְיֹן,çiryôn,sir-yone',a coat of mail,brigandine.,for H8302 (שִׁרְיוֹן);
19828,H5631,hebrew,סָרִיס,çârîyç,saw-reece',"a eunuch; by implication, valet (especially of the female apartments), and thus, a minister of state","chamberlain, eunuch, officer. Compare H7249 (רַב־סָרִיס).",or סָרִס; from an unused root meaning to castrate;
19829,H5632,hebrew,סָרֵךְ,çârêk,saw-rake',an emir,president.,(Aramaic) of foreign origin;
19830,H5633,hebrew,סֶרֶן,çeren,seh'-ren,"an axle; figuratively, a peer","lord, plate.",from an unused root of uncertain meaning;
19831,H5634,hebrew,סַרְעַפָּה,çarʻappâh,sar-ap-paw',a twig,bough.,for H5589 (סְעַפָּה);
19832,H5635,hebrew,סָרַף,çâraph,saw-raf',"to cremate, i.e. to be (near) of kin (such being privileged to kindle the pyre)",burn.,a primitive root;
19833,H5636,hebrew,סַרְפָּד,çarpâd,sar-pawd',a nettle (as stinging like a burn),brier.,from H5635 (סָרַף);
19834,H5637,hebrew,סָרַר,çârar,saw-rar',"to turn away, i.e. (morally) be refractory","[idiom] away, backsliding, rebellious, revolter(-ing), slide back, stubborn, withdrew.",a primitive root;
19835,H5638,hebrew,סְתָו,çᵉthâv,seth-awv',winter (as the dark season),winter.,from an unused root meaning to hide;
19836,H5639,hebrew,סְתוּר,Çᵉthûwr,seth-oor',"Sethur, an Israelite",Sethur.,from H5641 (סָתַר); hidden;
19837,H5640,hebrew,סָתַם,çâtham,saw-tham',"to stop up; by implication, to repair; figuratively, to keep secret","closed up, hidden, secret, shut out (up), stop.","or שָׂתַם; (Numbers 24:15), a primitive root;"
19838,H5641,hebrew,סָתַר,çâthar,saw-thar',"to hide (by covering), literally or figuratively","be absent, keep close, conceal, hide (self), (keep) secret, [idiom] surely.",a primitive root;
19839,H5642,hebrew,סְתַר,çᵉthar,seth-ar',"to conceal; figuratively, to demolish","destroy, secret thing.",(Aramaic) corresponding to H5641 (סָתַר);
19840,H5643,hebrew,סֵתֶר,çêther,say'-ther,"a cover (in a good or a bad, a literal or a figurative sense)","backbiting, covering, covert, [idiom] disguise(-th), hiding place, privily, protection, secret(-ly, place).","or (feminine) סִתְרָה; (Deuteronomy [32:38), from H5641 (סָתַר);"
19841,H5644,hebrew,סִתְרִי,Çithrîy,sith-ree',"Sithri, an Israelite,",Zithri. [,from H5643 (סֵתֶר); protective;
19842,H5645,hebrew,עָב,ʻâb,awb,"properly, an envelope, i.e. darkness (or density, 2 Chronicles 4:17); specifically, a (scud) cloud; also a copse","clay, (thick) cloud, [idiom] thick, thicket. Compare H5672 (עֲבִי).",(masculine and feminine); from H5743 (עוּב);
19843,H5646,hebrew,עָב,ʻâb,awb,an architrave (as shading the pillars),"thick (beam, plant).","or עֹב; from an unused root meaning to cover; properly, equivalent to H5645 (עָב); but used only as an architectural term,"
19844,H5647,hebrew,עָבַד,ʻâbad,aw-bad',"to work (in any sense); by implication, to serve, till, (causatively) enslave, etc.","[idiom] be, keep in bondage, be bondmen, bond-service, compel, do, dress, ear, execute, [phrase] husbandman, keep, labour(-ing man, bring to pass, (cause to, make to) serve(-ing, self), (be, become) servant(-s), do (use) service, till(-er), transgress (from margin), (set a) work, be wrought, worshipper,",a primitive root;
19845,H5648,hebrew,עֲבַד,ʻăbad,ab-bad',"to do, make, prepare, keep, etc.","[idiom] cut, do, execute, go on, make, move, work.",(Aramaic) corresponding to H5647 (עָבַד);
19846,H5649,hebrew,עֲבַד,ʻăbad,ab-bad',a servant,servant.,(Aramaic) from H5648 (עֲבַד);
19847,H5650,hebrew,עֶבֶד,ʻebed,eh'-bed,a servant,"[idiom] bondage, bondman, (bond-) servant, (man-) servant.",from H5647 (עָבַד);
19848,H5651,hebrew,עֶבֶד,ʻEbed,eh'-bed,"Ebed, the name of two Israelites",Ebed.,the same as H5650 (עֶבֶד);
19849,H5652,hebrew,עֲבָד,ʻăbâd,ab-awd',a deed,work.,from H5647 (עָבַד);
19850,H5653,hebrew,עַבְדָּא,ʻAbdâʼ,ab-daw',"Abda, the name of two Israelites",Abda,from H5647 (עָבַד); work;
19851,H5654,hebrew,עֹבֵד אֱדוֹם,ʻÔbêd ʼĔdôwm,o-bade' ed-ome',"Obed-Edom, the name of five Israelites",Obed-edom.,from the active participle of H5647 (עָבַד) and H123 (אֱדֹם); worker of Edom;
19852,H5655,hebrew,עַבְדְּאֵל,ʻAbdᵉʼêl,ab-deh-ale',"Abdeel, an Israelite",Abdeel. Compare H5661 (עַבְדִיאֵל).,from H5647 (עָבַד) and H410 (אֵל); serving God;
19853,H5656,hebrew,עֲבֹדָה,ʻăbôdâh,ab-o-daw',work of any kind,"act, bondage, [phrase] bondservant, effect, labour, ministering(-try), office, service(-ile, -itude), tillage, use, work, [idiom] wrought.",or עֲבוֹדָה; from H5647 (עָבַד);
19854,H5657,hebrew,עֲבֻדָּה,ʻăbuddâh,ab-ood-daw',"something wrought, i.e. (concretely) service","household, store of servants.",passive participle of H5647 (עָבַד);
19855,H5658,hebrew,עַבְדוֹן,ʻAbdôwn,ab-dohn',"Abdon, the name of a place in Palestine and of four Israelites",Abdon. Compare H5683 (עֶבְרֹן).,from H5647 (עָבַד); servitude;
19856,H5659,hebrew,עַבְדוּת,ʻabdûwth,ab-dooth',servitude,bondage.,from H5647 (עָבַד);
19857,H5660,hebrew,עַבְדִּי,ʻAbdîy,ab-dee',"Abdi, the name of two Israelites",Abdi.,from H5647 (עָבַד); serviceable;
19858,H5661,hebrew,עַבְדִיאֵל,ʻAbdîyʼêl,ab-dee-ale',"Abdiel, an Israelite",Abdiel. Compare H5655 (עַבְדְּאֵל).,from H5650 (עֶבֶד) and H410 (אֵל); servant of God;
19859,H5662,hebrew,עֹבַדְיָה,ʻÔbadyâh,o-bad-yaw',"Obadjah, the name of thirteen Israelites",Obadiah.,or עֹבַדְיָהוּ; active participle of H5647 (עָבַד) and H3050 (יָהּ); serving Jah;
19860,H5663,hebrew,עֶבֶד מֶלֶךְ,ʻEbed Melek,eh'-bed meh'-lek,"Ebed-Melek, a eunuch of Zedekeah",Ebed-melech.,from H5650 (עֶבֶד) and H4428 (מֶלֶךְ); servant of a king;
19861,H5664,hebrew,עֲבֵד נְגוֹ,ʻĂbêd Nᵉgôw,ab-ade' neg-o',"Abed-Nego, the Babylonian name of one of Daniel's companions",Abed-nego.,the same as H5665 (עֲבֵד נְגוֹא);
19862,H5665,hebrew,עֲבֵד נְגוֹא,ʻĂbêd Nᵉgôwʼ,ab-ade' neg-o',"Abed-Nego, the name of Azariah",Abed-nego.,(Aramaic) of foreign origin;
19863,H5666,hebrew,עָבָה,ʻâbâh,aw-baw',to be dense,be (grow) thick(-er).,a primitive root;
19864,H5667,hebrew,עֲבוֹט,ʻăbôwṭ,ab-ote',a pawn,pledge.,or עֲבֹט; from H5670 (עָבַט);
19865,H5668,hebrew,עָבוּר,ʻâbûwr,aw-boor',"properly, crossed, i.e. (abstractly) transit; used only adverbially, on account of, in order that","because of, for (...'s sake), (intent) that, to.",or עָבֻר; passive participle of H5674 (עָבַר);
19866,H5669,hebrew,עָבוּר,ʻâbûwr,aw-boor',"passed, i.e. kept over; used only of stored grain",old corn.,the same as H5668 (עָבוּר);
19867,H5670,hebrew,עָבַט,ʻâbaṭ,aw-bat',"to pawn; causatively, to lend (on security); figuratively, to entangle","borrow, break (ranks), fetch (a pledge), lend, [idiom] surely.",a primitive root;
19868,H5671,hebrew,עַבְטִיט,ʻabṭîyṭ,ab-teet',"something pledged, i.e. (collectively) pawned goods",thick clay (by a false etym.).,from H5670 (עָבַט);
19869,H5672,hebrew,עֲבִי,ʻăbîy,ab-ee',"density, i.e. depth or width",thick(-ness). Compare H5645 (עָב).,or עֳבִי]; from H5666 (עָבָה);
19870,H5673,hebrew,עֲבִידָה,ʻăbîydâh,ab-ee-daw',labor or business,"affairs, service, work.",(Aramaic) from H5648 (עֲבַד);
19871,H5674,hebrew,עָבַר,ʻâbar,aw-bar',"to cross over; used very widely of any transition (literal or figurative; transitive, intransitive, intensive, causative); specifically, to cover (in copulation)","alienate, alter, [idiom] at all, beyond, bring (over, through), carry over, (over-) come (on, over), conduct (over), convey over, current, deliver, do away, enter, escape, fail, gender, get over, (make) go (away, beyond, by, forth, his way, in, on, over, through), have away (more), lay, meddle, overrun, make partition, (cause to, give, make to, over) pass(-age, along, away, beyond, by, -enger, on, out, over, through), (cause to, make) [phrase] proclaim(-amation), perish, provoke to anger, put away, rage, [phrase] raiser of taxes, remove, send over, set apart, [phrase] shave, cause to (make) sound, [idiom] speedily, [idiom] sweet smelling, take (away), (make to) transgress(-or), translate, turn away, (way-) faring man, be wrath.",a primitive root;
19872,H5675,hebrew,עֲבַר,ʻăbar,ab-ar',"{properly, a region across; but used only adverbially (with or without a preposition) on the opposite side (especially of the Jordan; ususally meaning the east)}","beyond, this side.",(Aramaic) corresponding to H5676 (עֵבֶר)
19873,H5676,hebrew,עֵבֶר,ʻêber,ay'-ber,"properly, a region across; but used only adverbially (with or without a preposition) on the opposite side (especially of the Jordan; ususally meaning the east)","[idiom] against, beyond, by, [idiom] from, over, passage, quarter, (other, this) side, straight.",from H5674 (עָבַר);
19874,H5677,hebrew,עֵבֵר,ʻÊbêr,ay'-ber,"Eber, the name of two patriarchs and four Israelites","Eber, Heber.",the same as H5676 (עֵבֶר);
19875,H5678,hebrew,עֶבְרָה,ʻebrâh,eb-raw',an outburst of passion,"anger, rage, wrath.",feminine of H5676 (עֵבֶר);
19876,H5679,hebrew,עֲבָרָה,ʻăbârâh,ab-aw-raw',a crossing-place,"ferry, plain (from the margin).",from H5674 (עָבַר);
19877,H5680,hebrew,עִבְרִי,ʻIbrîy,ib-ree',an Eberite (i.e. Hebrew) or descendant of Eber,"Hebrew(-ess, woman).",patronymic from H5677 (עֵבֵר);
19878,H5681,hebrew,עִבְרִי,ʻIbrîy,ib-ree',"Ibri, an Israelite",Ibri.,the same as H5680 (עִבְרִי);
19879,H5682,hebrew,עֲבָרִים,ʻĂbârîym,ab-aw-reem',"Abarim, a place in Palestine","Abarim, passages.",plural of H5676 (עֵבֶר); regions beyond;
19880,H5683,hebrew,עֶבְרֹן,ʻEbrôn,eb-rone',"Ebron, a place in Palestine",Hebron. Perhaps a clerical error for H5658 (עַבְדוֹן).,from H5676 (עֵבֶר); transitional;
19881,H5684,hebrew,עֶבְרֹנָה,ʻEbrônâh,eb-raw-naw',"Ebronah, place in the Desert",Ebronah.,feminine of H5683 (עֶבְרֹן);
19882,H5685,hebrew,עָבַשׁ,ʻâbash,aw-bash',to dry up,be rotten.,a primitive root;
19883,H5686,hebrew,עָבַת,ʻâbath,aw-bath',"to interlace, i.e. (figuratively) to pervert",wrap up.,a primitive root;
19884,H5687,hebrew,עָבֹת,ʻâbôth,aw-both',"intwined, i.e. dense",thick.,or עָבוֹת; from H5686 (עָבַת);
19885,H5688,hebrew,עֲבֹת,ʻăbôth,ab-oth',"something intwined, i.e. a string, wreath or foliage","band, cord, rope, thick bough (branch), wreathen (chain).",or עֲבוֹת; or (feminine) עֲבֹתָה; the same as H5687 (עָבֹת);
19886,H5689,hebrew,עֲגַב,ʻăgab,aw-gab',"to breathe after, i.e. to love (sensually)","dote, lover.",a primitive root;
19887,H5690,hebrew,עֶגֶב,ʻegeb,eh'-gheb,"love (concretely), i.e. amative words","much love, very lovely.",from H5689 (עֲגַב);
19888,H5691,hebrew,עֲגָבָה,ʻăgâbâh,ag-aw-baw',"love (abstractly), i.e. amorousness",inordinate love.,from H5689 (עֲגַב);
19889,H5692,hebrew,עֻגָּה,ʻuggâh,oog-gaw',an ash-cake (as round),cake (upon the hearth).,from H5746 (עוּג);
19890,H5693,hebrew,עָגוּר,ʻâgûwr,aw-goor',probably the swallow,swallow.,passive part (but with active sense) of an unused root meaning to twitter;
19891,H5694,hebrew,עָגִיל,ʻâgîyl,aw-gheel',"something round, i.e. a ring (for the ears)",earring.,from the same as H5696 (עָגֹל);
19892,H5695,hebrew,עֵגֶל,ʻêgel,ay-ghel,"a (male) calf (as frisking round), especially one nearly grown (i.e. a steer)","bullock, calf.",from the same as H5696 (עָגֹל);
19893,H5696,hebrew,עָגֹל,ʻâgôl,aw-gole',circular,round.,"or עָגוֹל; from an unused root meaning to revolve,"
19894,H5697,hebrew,עֶגְלָה,ʻeglâh,eg-law',"a (female) calf, especially one nearly grown (i.e. a heifer)","calf, cow, heifer.",feminine of H5695 (עֵגֶל);
19895,H5698,hebrew,עֶגְלָה,ʻEglâh,eg-law',"Eglah, a wife of David",Eglah.,the same as H5697 (עֶגְלָה);
19896,H5699,hebrew,עֲגָלָה,ʻăgâlâh,ag-aw-law',"something revolving, i.e. a wheeled vehicle","cart, chariot, wagon",from the same as H5696 (עָגֹל);
19897,H5700,hebrew,עֶגְלוֹן,ʻEglôwn,eg-lawn',"Eglon, the name of a place in Palestine and of a Moabitish king",Eglon.,from H5695 (עֵגֶל); vituline;
19898,H5701,hebrew,עָגַם,ʻâgam,aw-gam',to be sad,grieve.,a primitive root;
19899,H5702,hebrew,עָגַן,ʻâgan,aw-gan',"to debar, i.e. from marriage",stay.,a primitive root;
19900,H5703,hebrew,עַד,ʻad,ad,"properly, a (peremptory) terminus, i.e. (by implication) duration, in the sense of advance or perpetuity (substantially as a noun, either with or without a preposition)","eternity, ever(-lasting, -more), old, perpetually, [phrase] world without end.",from H5710 (עָדָה);
19901,H5704,hebrew,עַד,ʻad,ad,"as far (or long, or much) as, whether of space (even unto) or time (during, while, until) or degree (equally with)","against, and, as, at, before, by (that), even (to), for(-asmuch as), (hither-) to, [phrase] how long, into, as long (much) as, (so) that, till, toward, until, when, while, ([phrase] as) yet.","properly, the same as H5703 (עַד) (used as a preposition, adverb or conjunction; especially with a preposition);"
19902,H5705,hebrew,עַד,ʻad,ad,"{as far (or long, or much) as, whether of space (even unto) or time (during, while, until) or degree (equally with)}","[idiom] and, at, for, (hither-) to, on till, (un-) to, until, within.",(Aramaic) corresponding to H5704 (עַד)
19903,H5706,hebrew,עַד,ʻad,ad,booty,prey.,the same as H5703 (עַד) in the sense of the aim of an attack;
19904,H5707,hebrew,עֵד,ʻêd,ayd,"concretely, a witness; abstractly, testimony; specifically, a recorder, i.e. prince",witness.,contracted from H5749 (עוּד);
19905,H5708,hebrew,עֵד,ʻêd,ayd,the menstrual flux (as periodical); by implication (in plural) soiling,filthy.,"from an unused root meaning to set a period (compare H5710 (עָדָה), H5749 (עוּד));"
19906,H5709,hebrew,עֲדָא,ʻădâʼ,ad-aw',"{to advance, i.e. pass on or continue; causatively, to remove; specifically, to bedeck (i.e. bring an ornament upon)}","alter, depart, pass (away), remove, take (away).","(Aramaic) or עֲדָה; (Aramaic), corresponding to H5710 (עָדָה)"
19907,H5710,hebrew,עָדָה,ʻâdâh,aw-daw',"to advance, i.e. pass on or continue; causatively, to remove; specifically, to bedeck (i.e. bring an ornament upon)","adorn, deck (self), pass by, take away.",a primitive root;
19908,H5711,hebrew,עָדָה,ʻÂdâh,aw-daw',"Adah, the name of two women",Adah.,from H5710 (עָדָה); ornament;
19909,H5712,hebrew,עֵדָה,ʻêdâh,ay-daw',"a stated assemblage (specifically, a concourse, or generally, a family or crowd)","assembly, company, congregation, multitude, people, swarm. Compare H5713 (עֵדָה).",feminine of H5707 (עֵד) in the original sense of fixture;
19910,H5713,hebrew,עֵדָה,ʻêdâh,ay-daw',testimony,"testimony, witness. Compare H5712 (עֵדָה).",feminine of H5707 (עֵד) in its techn. sense;
19911,H5714,hebrew,עִדּוֹ,ʻIddôw,id-do',"Iddo (or Iddi), the name of five Israelites","Iddo. Compare H3035 (יִדּוֹ), H3260 (יֶעְדִּי).",or עִדּוֹא; or עִדִּיא; from H5710 (עָדָה); timely;
19912,H5715,hebrew,עֵדוּת,ʻêdûwth,ay-dooth',testimony,"testimony, witness.",feminine of H5707 (עֵד);
19913,H5716,hebrew,עֲדִי,ʻădîy,ad-ee',"finery; generally an outfit; specifically, a headstall","[idiom] excellent, mouth, ornament.",from H5710 (עָדָה) in the sense of trappings;
19914,H5717,hebrew,עֲדִיאֵל,ʻĂdîyʼêl,ad-ee-ale',"Adiel, the name of three Israelites",Adiel.,from H5716 (עֲדִי) and H410 (אֵל); ornament of God;
19915,H5718,hebrew,עֲדָיָה,ʻĂdâyâh,ad-aw-yaw',"Adajah, the name of eight Israelites",Adaiah.,or עֲדָיָהוּ; from H5710 (עָדָה) and H3050 (יָהּ); Jah has adorned;
19916,H5719,hebrew,עָדִין,ʻâdîyn,aw-deen',voluptuous,given to pleasures.,from H5727 (עָדַן);
19917,H5720,hebrew,עָדִין,ʻÂdîyn,aw-deen',"Adin, the name of two Israelites",Adin.,the same as H5719 (עָדִין);
19918,H5721,hebrew,עֲדִינָא,ʻĂdîynâʼ,ad-ee-naw',"Adina, an Israelite",Adina.,from H5719 (עָדִין); effeminacy;
19919,H5722,hebrew,עֲדִינוֹ,ʻădîynôw,ad-ee-no',his spear,Adino.,probably from H5719 (עָדִין) in the original sense of slender (i.e. a spear);
19920,H5723,hebrew,עֲדִיתַיִם,ʻĂdîythayim,ad-ee-thah'-yim,"Adithajim, a place in Palestine",Adithaim.,dual of a feminine of H5706 (עַד); double prey;
19921,H5724,hebrew,עַדְלַי,ʻAdlay,ad-lah'-ee,"Adlai, an Israelite",Adlai.,probably from an unused root of uncertain meaning;
19922,H5725,hebrew,עֲדֻלָּם,ʻĂdullâm,ad-ool-lawm',"Adullam, a place in Palestine",Adullam.,probably from the passive participle of the same as H5724 (עַדְלַי);
19923,H5726,hebrew,עֲדֻלָּמִי,ʻĂdullâmîy,ad-ool-law-mee',an Adullamite or native of Adullam,Adullamite.,patrial from H5725 (עֲדֻלָּם);
19924,H5727,hebrew,עָדַן,ʻâdan,aw-dan',"to be soft or pleasant; figuratively and reflexively, to live voluptuously",delight self.,a primitive root;
19925,H5728,hebrew,עֲדֶן,ʻăden,ad-en',till now,yet.,or עֲדֶנָּה; from H5704 (עַד) and H2004 (הֵן);
19926,H5729,hebrew,עֶדֶן,ʻEden,eh'-den,"Eden, a place in Mesopotamia",Eden.,from H5727 (עָדַן); pleasure;
19927,H5730,hebrew,עֵדֶן,ʻêden,ay'-den,pleasure,"delicate, delight, pleasure. See also H1040 (בֵּית עֵדֶן).",or (feminine) עֶדְנָה; from H5727 (עָדַן);
19928,H5731,hebrew,עֵדֶן,ʻÊden,ay'-den,"Eden, the region of Adam's home",Eden.,the same as H5730 (עֵדֶן) (masculine);
19929,H5732,hebrew,עִדָּן,ʻiddân,id-dawn',"a set time; technically, a year",time.,(Aramaic) from a root corresponding to that of H5708 (עֵד);
19930,H5733,hebrew,עַדְנָא,ʻAdnâʼ,ad-naw',"Adna, the name of two Israelites",Adna.,from H5727 (עָדַן); pleasure;
19931,H5734,hebrew,עַדְנָה,ʻAdnâh,ad-naw',"Adnah, the name of two Israelites",Adnah.,from H5727 (עָדַן); pleasure;
